Timestamp,Label,TxHash,L2GasUsed,L1GasUsed,L1FeesPaid(ETH),L2FeesPaid(ETH),ActualGasUsed(UserOp),ActualGasCost(UserOp),aPNTs_Cost,xPNTs_Cost,Log_Debt
2026-02-13T15:04:18.790Z,T1,0x0293729bc5437daf74b8355107cb6dbb8e34e03271208bb456fa9b401d3fdd5d,152042,"5,903",0.000000008416337741,0.00000001546799287,271092,135546470344620,N/A,N/A,N/A
2026-02-13T15:06:01.254Z,T1,0xda23c26bbddbc948c4236c86d8f6ad82eaf0cdd977236c3c0249e6d70821f3df,152042,"5,876",0.00000000890378645,0.000000015467080618,271092,135546468718068,N/A,N/A,N/A
2026-02-13T15:10:01.421Z,T1,0x0e9b55fa78f67ce4bd442797d44c31f60aac5d20e408bf341b58eace02a6cac7,152042,"5,916",0.000000011264224761,0.000000015480308272,271092,135546492303072,N/A,N/A,N/A
2026-02-13T15:10:05.781Z,T2_SP_Credit,0xc9a58dc19fa3b8d3f35c6a6d55ed5f6ba473c23112f79dd76d4209e9f04aa52a,169591,"6,104",0.000000012119141569,0.000000017270129894,288645,144323029374930,11077345483069377308,11077345483069377308,11077345483069377308
2026-02-13T15:15:14.458Z,T1,0x809da54a7c02f20f46f9ed324e4c4962d6479d5b1758af630b75a11934f26854,152042,"5,903",0.000000013592944474,0.000000015514973848,271092,135546554112048,N/A,N/A,N/A
2026-02-13T15:15:20.997Z,T2_SP_Credit,0x356fab308143d1a66a9eb9d68fceb8b95df65b6c71754da544f55bd5120299d1,169603,"6,104",0.000000015105324057,0.000000017307138135,288645,144323090279025,11077350157692024647,11077350157692024647,11077350157692024647
2026-02-13T15:19:27.166Z,T1,0xa3a0573cfbf69dea3db99ef07c5c3a1d563fcb683b31a5930833f2b38beb3cd1,152042,"5,916",0.000000020633013122,0.00000001552956988,271092,135546580136880,N/A,N/A,N/A
2026-02-13T15:19:34.020Z,T2_SP_Credit,0x46680305352c553b2d2a2ca5d75eab623682d130a1876b9bd648efe8500c9a09,169591,"6,077",0.000000020277062262,0.000000017322533513,288645,144323118566235,11077352328843775544,11077352328843775544,11077352328843775544
2026-02-13T15:22:37.033Z,T1,0x1c9d9fed4f882e3f8f1ffd6b867edcd55691747a2ce100d6b81200343f5485b8,152042,"5,903",0.000000016274151706,0.00000001552880967,271092,135546578781420,N/A,N/A,N/A
2026-02-13T15:22:43.949Z,T2_SP_Credit,0x732daea624858746bf249d3190dea6bb1bc338c4f0a6347e9bf41ae45850dda7,169603,"6,090",0.000000016790685166,0.000000017322232802,288645,144323115968430,11077352129452288216,11077352129452288216,11077352129452288216
2026-02-13T15:25:42.763Z,T5,0x9f0a3774567bd71a93c2a4b4dc1506c4b3d52132e31cb345f8851f93442e6c3b,169394,"5,729",0.000000014313133062,0.000000017297498916,287761,143881108326754,11625722860051739291,11625722860051739291,11625722860051739291
2026-02-13T15:27:58.139Z,T1,0x5d2ce6233101d680dee0da83f7f8994b0bfd1142813bfa73b5d5271fb673622b,152030,"5,916",0.00000001323656702,0.00000001554111472,271092,135546602908608,N/A,N/A,N/A
2026-02-13T15:28:05.908Z,T2_SP_Credit,0x75e2836d2d92a0939f36b3438b898e017bf7955314373088f80d454958f39ea0,167859,"6,077",0.000000013595857075,0.000000017159554134,286086,143043636827436,11257788863311484209,11257788863311484209,11257788863311484209
2026-02-13T15:28:13.760Z,T5,0x4372a910e0dd178e55ffd2a644be6044db6556742f167b75e7be353feb03010a,169394,"5,729",0.000000012663096449,0.000000017316640438,287761,143881140843747,11625725487453997007,11625725487453997007,11625725487453997007
2026-02-14T02:20:21.857Z,T1,0x2155ca284e7803894fe8d9f1a95adddcd9a7103d5cb44a07f1122fed32bb85ab,152018,"5,957",0.000000002559558903,0.000000015377532808,271092,135546313382352,N/A,N/A,N/A
2026-02-14T02:20:28.191Z,T2_SP_Credit,0x305cbfc38327d83c265ed7399e25249cb5fc88bfcf350744f8f2b929ee667dca,167827,"6,077",0.000000002483856803,0.000000016976708012,286057,143028830681892,11502963192414413709,11502963192414413709,11502963192414413709
2026-02-14T02:20:33.687Z,T5,0x853f5f6d7d7eb57bc05c0851fce43549a98fe4202ee053b755acabd68b9e00ad,169362,"5,729",0.00000000234163792,0.000000017131982472,287732,143866332618192,11878912788607870533,11878912788607870533,11878912788607870533
2026-02-14T02:33:21.085Z,T1,0x75fd0aef3812cc7032804146913ef05cd532934a443a8d58ad6c73a6e19cd672,152018,"5,957",0.000000002492071918,0.00000001537206016,271092,135546303623040,N/A,N/A,N/A
2026-02-14T02:33:26.228Z,T2_SP_Credit,0x819085fc94ca889ccc2b8f5ea6c15e6b27f8bcea0893447492abf6bad6f13dfb,167815,"6,077",0.000000002438255083,0.0000000169694528,286057,143028820383840,11502962364202978680,11502962364202978680,11502962364202978680
2026-02-14T02:33:31.892Z,T5,0xbd33c4c9e862d56e7ddfb9feab21c597aaf9762881eb8c97b5ebbf9e0072f068,169362,"5,729",0.000000002298647231,0.000000017125546716,287732,143866321684376,11878911885812585861,11878911885812585861,11878911885812585861
